14028S_operons	D23580_operons	LT2_operons	SL1344_operons	ST4-74_operons
14028S---operon_1763	D23580---operon_2189	LT2---operon_2147	SL1344---operon_1287	ST4-74---operon_2106
14028S---operon_1700	D23580---operon_1315	LT2---operon_2220	SL1344---operon_2830	ST4-74---operon_917
14028S---operon_793	D23580---operon_829	LT2---operon_814	SL1344---operon_788	ST4-74---operon_840
14028S---operon_927	D23580---operon_2101	LT2---operon_2542	SL1344---operon_1735	ST4-74---operon_1529
14028S---operon_2324	D23580---operon_2548	LT2---operon_1076	SL1344---operon_2656	ST4-74---operon_1468
14028S---operon_2689	D23580---operon_1281	LT2---operon_1143	SL1344---operon_2712	ST4-74---operon_1525
14028S---operon_1981	D23580---operon_2083	LT2---operon_1159	SL1344---operon_2909	ST4-74---operon_1308
14028S---operon_2196	D23580---operon_1189	LT2---operon_1687	SL1344---operon_1813	ST4-74---operon_2048
14028S---operon_451	D23580---operon_472	LT2---operon_462	SL1344---operon_449	ST4-74---operon_478
14028S---operon_762	D23580---operon_793	LT2---operon_783	SL1344---operon_757	ST4-74---operon_805
14028S---operon_745	D23580---operon_773	LT2---operon_763	SL1344---operon_741	ST4-74---operon_785
14028S---operon_1124	D23580---operon_1487	LT2---operon_1836	SL1344---operon_829	ST4-74---operon_2253
14028S---operon_1678	D23580---operon_2744	LT2---operon_2512	SL1344---operon_1079	ST4-74---operon_1898
14028S---operon_2680	D23580---operon_1402	LT2---operon_1160	SL1344---operon_906	ST4-74---operon_2486
14028S---operon_2809	D23580---operon_2213	LT2---operon_1607	SL1344---operon_1884	ST4-74---operon_2054
14028S---operon_2291	D23580---operon_1212	LT2---operon_1752	SL1344---operon_2421	ST4-74---operon_1158
14028S---operon_2830	D23580---operon_986	LT2---operon_972	SL1344---operon_1825	ST4-74---operon_913
14028S---operon_475	D23580---operon_496	LT2---operon_486	SL1344---operon_471	ST4-74---operon_498
14028S---operon_1000	D23580---operon_2411	LT2---operon_1327	SL1344---operon_2881	ST4-74---operon_1789
14028S---operon_1603	D23580---operon_2212	LT2---operon_2057	SL1344---operon_2483	ST4-74---operon_1555
14028S---operon_1414	D23580---operon_2784	LT2---operon_1102	SL1344---operon_1632	ST4-74---operon_2310
14028S---operon_2551	D23580---operon_2273	LT2---operon_2074	SL1344---operon_2828	ST4-74---operon_1366
14028S---operon_55	D23580---operon_67	LT2---operon_56	SL1344---operon_54	ST4-74---operon_58
14028S---operon_1306	D23580---operon_1800	LT2---operon_1748	SL1344---operon_1608	ST4-74---operon_985
14028S---operon_1205	D23580---operon_2663	LT2---operon_1659	SL1344---operon_2003	ST4-74---operon_1760
14028S---operon_2332	D23580---operon_1998	LT2---operon_1087	SL1344---operon_1264	ST4-74---operon_2275
14028S---operon_1222	D23580---operon_1007	LT2---operon_1512	SL1344---operon_1203	ST4-74---operon_2298
14028S---operon_757	D23580---operon_787	LT2---operon_777	SL1344---operon_753	ST4-74---operon_799
14028S---operon_214	D23580---operon_217	LT2---operon_208	SL1344---operon_207	ST4-74---operon_218
14028S---operon_1917	D23580---operon_1824	LT2---operon_2064	SL1344---operon_1084	ST4-74---operon_1204
14028S---operon_1900	D23580---operon_2455	LT2---operon_1250	SL1344---operon_981	ST4-74---operon_1449
14028S---operon_1708	D23580---operon_2736	LT2---operon_2442	SL1344---operon_1546	ST4-74---operon_2690
14028S---operon_1572	D23580---operon_1307	LT2---operon_977	SL1344---operon_2988	ST4-74---operon_2392
14028S---operon_2356	D23580---operon_1838	LT2---operon_1957	SL1344---operon_1986	ST4-74---operon_2426
14028S---operon_1934	D23580---operon_1830	LT2---operon_2504	SL1344---operon_1457	ST4-74---operon_1703
14028S---operon_1199	D23580---operon_1877	LT2---operon_1048	SL1344---operon_1715	ST4-74---operon_1954
14028S---operon_68	D23580---operon_82	LT2---operon_69	SL1344---operon_66	ST4-74---operon_75
14028S---operon_1380	D23580---operon_992	LT2---operon_2638	SL1344---operon_2485	ST4-74---operon_1716
14028S---operon_1559	D23580---operon_2442	LT2---operon_2589	SL1344---operon_2773	ST4-74---operon_1330
14028S---operon_2470	D23580---operon_1225	LT2---operon_1570	SL1344---operon_2250	ST4-74---operon_1164
14028S---operon_234	D23580---operon_236	LT2---operon_230	SL1344---operon_235	ST4-74---operon_246
14028S---operon_1968	D23580---operon_1321	LT2---operon_1865	SL1344---operon_1473	ST4-74---operon_2480
14028S---operon_831	D23580---operon_1056	LT2---operon_1237	SL1344---operon_1640	ST4-74---operon_2090
14028S---operon_80	D23580---operon_96	LT2---operon_83	SL1344---operon_81	ST4-74---operon_89
14028S---operon_88	D23580---operon_104	LT2---operon_90	SL1344---operon_90	ST4-74---operon_96
14028S---operon_346	D23580---operon_355	LT2---operon_342	SL1344---operon_349	ST4-74---operon_359
14028S---operon_2165	D23580---operon_1373	LT2---operon_2394	SL1344---operon_2715	ST4-74---operon_881
14028S---operon_2611	D23580---operon_2359	LT2---operon_1431	SL1344---operon_2298	ST4-74---operon_1813
14028S---operon_2444	D23580---operon_2689	LT2---operon_1825	SL1344---operon_2507	ST4-74---operon_1096
14028S---operon_248	D23580---operon_250	LT2---operon_243	SL1344---operon_248	ST4-74---operon_260
14028S---operon_2703	D23580---operon_1054	LT2---operon_1808	SL1344---operon_963	ST4-74---operon_1515
14028S---operon_2831	D23580---operon_1624	LT2---operon_2628	SL1344---operon_1379	ST4-74---operon_2499
14028S---operon_858	D23580---operon_2541	LT2---operon_1951	SL1344---operon_2850	ST4-74---operon_2108
14028S---operon_2535	D23580---operon_1582	LT2---operon_1690	SL1344---operon_1153	ST4-74---operon_1049
14028S---operon_2252	D23580---operon_1653	LT2---operon_2341	SL1344---operon_2489	ST4-74---operon_1915
14028S---operon_1783	D23580---operon_2445	LT2---operon_1545	SL1344---operon_1148	ST4-74---operon_1563
14028S---operon_2795	D23580---operon_2760	LT2---operon_1032	SL1344---operon_2331	ST4-74---operon_2363
14028S---operon_2479	D23580---operon_2683	LT2---operon_2709	SL1344---operon_2037	ST4-74---operon_2071
14028S---operon_2459	D23580---operon_2066	LT2---operon_1057	SL1344---operon_2227	ST4-74---operon_1505
14028S---operon_2756	D23580---operon_1761	LT2---operon_2731	SL1344---operon_853	ST4-74---operon_907
14028S---operon_1200	D23580---operon_888	LT2---operon_2295	SL1344---operon_2534	ST4-74---operon_1194
14028S---operon_2645	D23580---operon_1724	LT2---operon_2184	SL1344---operon_934	ST4-74---operon_948
14028S---operon_7	D23580---operon_12	LT2---operon_9	SL1344---operon_8	ST4-74---operon_11
14028S---operon_2178	D23580---operon_856	LT2---operon_1122	SL1344---operon_2573	ST4-74---operon_989
14028S---operon_2629	D23580---operon_1303	LT2---operon_946	SL1344---operon_2310	ST4-74---operon_1833
14028S---operon_1952	D23580---operon_2466	LT2---operon_2633	SL1344---operon_2045	ST4-74---operon_2649
14028S---operon_2463	D23580---operon_2628	LT2---operon_2649	SL1344---operon_2727	ST4-74---operon_2135
14028S---operon_613	D23580---operon_639	LT2---operon_636	SL1344---operon_618	ST4-74---operon_650
14028S---operon_2110	D23580---operon_1198	LT2---operon_1996	SL1344---operon_2119	ST4-74---operon_2702
14028S---operon_338	D23580---operon_349	LT2---operon_335	SL1344---operon_341	ST4-74---operon_352
14028S---operon_1114	D23580---operon_2164	LT2---operon_1123	SL1344---operon_2561	ST4-74---operon_2714
14028S---operon_2190	D23580---operon_943	LT2---operon_1937	SL1344---operon_1231	ST4-74---operon_891
14028S---operon_396	D23580---operon_416	LT2---operon_402	SL1344---operon_397	ST4-74---operon_418
14028S---operon_1163	D23580---operon_1099	LT2---operon_2501	SL1344---operon_879	ST4-74---operon_901
14028S---operon_870	D23580---operon_2777	LT2---operon_2615	SL1344---operon_1100	ST4-74---operon_2032
14028S---operon_626	D23580---operon_652	LT2---operon_650	SL1344---operon_633	ST4-74---operon_663
14028S---operon_2169	D23580---operon_1863	LT2---operon_1148	SL1344---operon_1721	ST4-74---operon_1000
14028S---operon_2784	D23580---operon_2036	LT2---operon_2612	SL1344---operon_2971	ST4-74---operon_2246
14028S---operon_536	D23580---operon_564	LT2---operon_550	SL1344---operon_531	ST4-74---operon_564
14028S---operon_145	D23580---operon_150	LT2---operon_139	SL1344---operon_139	ST4-74---operon_146
14028S---operon_1014	D23580---operon_2043	LT2---operon_1083	SL1344---operon_1755	ST4-74---operon_1166
14028S---operon_2516	D23580---operon_1231	LT2---operon_1120	SL1344---operon_1312	ST4-74---operon_1265
14028S---operon_1936	D23580---operon_1349	LT2---operon_1830	SL1344---operon_1902	ST4-74---operon_2252
14028S---operon_1875	D23580---operon_1423	LT2---operon_1969	SL1344---operon_1040	ST4-74---operon_1402
14028S---operon_2640	D23580---operon_967	LT2---operon_2114	SL1344---operon_1437	ST4-74---operon_2394
14028S---operon_1003	D23580---operon_1143	LT2---operon_2273	SL1344---operon_2871	ST4-74---operon_1534
14028S---operon_2501	D23580---operon_1906	LT2---operon_2027	SL1344---operon_2200	ST4-74---operon_1035
14028S---operon_2651	D23580---operon_1930	LT2---operon_2484	SL1344---operon_1441	ST4-74---operon_2595
14028S---operon_528	D23580---operon_556	LT2---operon_540	SL1344---operon_523	ST4-74---operon_557
14028S---operon_1315	D23580---operon_1590	LT2---operon_2431	SL1344---operon_1336	ST4-74---operon_1173
14028S---operon_2108	D23580---operon_1353	LT2---operon_2561	SL1344---operon_2493	ST4-74---operon_2226
14028S---operon_2322	D23580---operon_2707	LT2---operon_1055	SL1344---operon_2949	ST4-74---operon_1707
14028S---operon_2662	D23580---operon_971	LT2---operon_1812	SL1344---operon_2059	ST4-74---operon_1196
14028S---operon_883	D23580---operon_1257	LT2---operon_2291	SL1344---operon_1694	ST4-74---operon_1146
14028S---operon_1838	D23580---operon_1551	LT2---operon_1491	SL1344---operon_2053	ST4-74---operon_1619
14028S---operon_837	D23580---operon_2705	LT2---operon_2415	SL1344---operon_1261	ST4-74---operon_1174
14028S---operon_2205	D23580---operon_849	LT2---operon_1605	SL1344---operon_1092	ST4-74---operon_2699
14028S---operon_425	D23580---operon_446	LT2---operon_432	SL1344---operon_423	ST4-74---operon_448
14028S---operon_372	D23580---operon_385	LT2---operon_375	SL1344---operon_374	ST4-74---operon_391
14028S---operon_1349	D23580---operon_1583	LT2---operon_875	SL1344---operon_2590	ST4-74---operon_2154
14028S---operon_2405	D23580---operon_988	LT2---operon_2013	SL1344---operon_2477	ST4-74---operon_1092
14028S---operon_219	D23580---operon_222	LT2---operon_213	SL1344---operon_213	ST4-74---operon_223
14028S---operon_1980	D23580---operon_1182	LT2---operon_1518	SL1344---operon_2866	ST4-74---operon_1544
14028S---operon_1718	D23580---operon_2729	LT2---operon_1400	SL1344---operon_1046	ST4-74---operon_1916
14028S---operon_1445	D23580---operon_2233	LT2---operon_2745	SL1344---operon_2168	ST4-74---operon_2206
14028S---operon_1657	D23580---operon_1730	LT2---operon_1398	SL1344---operon_1277	ST4-74---operon_2418
14028S---operon_446	D23580---operon_466	LT2---operon_457	SL1344---operon_445	ST4-74---operon_471
14028S---operon_2282	D23580---operon_1698	LT2---operon_2282	SL1344---operon_976	ST4-74---operon_2236
14028S---operon_1038	D23580---operon_1612	LT2---operon_1396	SL1344---operon_842	ST4-74---operon_2044
14028S---operon_2268	D23580---operon_2301	LT2---operon_1011	SL1344---operon_1988	ST4-74---operon_1960
14028S---operon_2523	D23580---operon_1595	LT2---operon_995	SL1344---operon_1984	ST4-74---operon_1041
14028S---operon_1484	D23580---operon_1061	LT2---operon_2328	SL1344---operon_2138	ST4-74---operon_1823
14028S---operon_2350	D23580---operon_1903	LT2---operon_1855	SL1344---operon_2796	ST4-74---operon_1737
14028S---operon_1112	D23580---operon_2746	LT2---operon_1913	SL1344---operon_2982	ST4-74---operon_2371
14028S---operon_1641	D23580---operon_2524	LT2---operon_1721	SL1344---operon_2002	ST4-74---operon_1202
14028S---operon_461	D23580---operon_481	LT2---operon_472	SL1344---operon_459	ST4-74---operon_487
14028S---operon_1639	D23580---operon_1427	LT2---operon_1892	SL1344---operon_2611	ST4-74---operon_2085
14028S---operon_1598	D23580---operon_1242	LT2---operon_1867	SL1344---operon_1698	ST4-74---operon_1336
14028S---operon_1201	D23580---operon_897	LT2---operon_921	SL1344---operon_1975	ST4-74---operon_2594
14028S---operon_2777	D23580---operon_1859	LT2---operon_2398	SL1344---operon_2890	ST4-74---operon_1224
14028S---operon_2788	D23580---operon_2789	LT2---operon_2703	SL1344---operon_1070	ST4-74---operon_1418
14028S---operon_2288	D23580---operon_2718	LT2---operon_1414	SL1344---operon_2843	ST4-74---operon_2072
14028S---operon_901	D23580---operon_2409	LT2---operon_2497	SL1344---operon_1439	ST4-74---operon_1842
14028S---operon_469	D23580---operon_488	LT2---operon_479	SL1344---operon_465	ST4-74---operon_492
14028S---operon_1087	D23580---operon_2053	LT2---operon_2684	SL1344---operon_1637	ST4-74---operon_1938
14028S---operon_2208	D23580---operon_941	LT2---operon_1880	SL1344---operon_1257	ST4-74---operon_976
14028S---operon_996	D23580---operon_2701	LT2---operon_1049	SL1344---operon_2753	ST4-74---operon_2181
14028S---operon_2354	D23580---operon_1940	LT2---operon_1619	SL1344---operon_1442	ST4-74---operon_2708
14028S---operon_1465	D23580---operon_2537	LT2---operon_2281	SL1344---operon_1643	ST4-74---operon_2561
14028S---operon_1132	D23580---operon_1908	LT2---operon_2451	SL1344---operon_953	ST4-74---operon_2009
14028S---operon_803	D23580---operon_838	LT2---operon_824	SL1344---operon_797	ST4-74---operon_851
14028S---operon_1750	D23580---operon_1536	LT2---operon_1475	SL1344---operon_2261	ST4-74---operon_944
14028S---operon_764	D23580---operon_795	LT2---operon_785	SL1344---operon_759	ST4-74---operon_807
14028S---operon_74	D23580---operon_90	LT2---operon_76	SL1344---operon_75	ST4-74---operon_84
14028S---operon_2761	D23580---operon_1237	LT2---operon_2099	SL1344---operon_2266	ST4-74---operon_2095
14028S---operon_827	D23580---operon_1079	LT2---operon_2289	SL1344---operon_1245	ST4-74---operon_1590
14028S---operon_413	D23580---operon_434	LT2---operon_420	SL1344---operon_412	ST4-74---operon_435
14028S---operon_237	D23580---operon_238	LT2---operon_232	SL1344---operon_237	ST4-74---operon_248
14028S---operon_1412	D23580---operon_2476	LT2---operon_1771	SL1344---operon_2014	ST4-74---operon_1133
14028S---operon_1771	D23580---operon_2167	LT2---operon_2000	SL1344---operon_1360	ST4-74---operon_958
14028S---operon_312	D23580---operon_319	LT2---operon_307	SL1344---operon_314	ST4-74---operon_327
14028S---operon_1588	D23580---operon_1100	LT2---operon_2098	SL1344---operon_883	ST4-74---operon_871
14028S---operon_1007	D23580---operon_1327	LT2---operon_864	SL1344---operon_1088	ST4-74---operon_2125
14028S---operon_2066	D23580---operon_2526	LT2---operon_1549	SL1344---operon_959	ST4-74---operon_1462
14028S---operon_1850	D23580---operon_2344	LT2---operon_846	SL1344---operon_1559	ST4-74---operon_2590
14028S---operon_2101	D23580---operon_2367	LT2---operon_1114	SL1344---operon_2165	ST4-74---operon_1060
14028S---operon_1097	D23580---operon_842	LT2---operon_1088	SL1344---operon_2155	ST4-74---operon_1828
14028S---operon_1189	D23580---operon_2045	LT2---operon_885	SL1344---operon_1307	ST4-74---operon_1226
14028S---operon_2838	D23580---operon_1394	LT2---operon_1281	SL1344---operon_1569	ST4-74---operon_2149
14028S---operon_1929	D23580---operon_2714	LT2---operon_1828	SL1344---operon_2518	ST4-74---operon_2129
14028S---operon_2724	D23580---operon_2486	LT2---operon_2116	SL1344---operon_2554	ST4-74---operon_2558
14028S---operon_1662	D23580---operon_2229	LT2---operon_845	SL1344---operon_1686	ST4-74---operon_2637
14028S---operon_1535	D23580---operon_845	LT2---operon_1103	SL1344---operon_996	ST4-74---operon_1919
14028S---operon_2772	D23580---operon_2617	LT2---operon_2201	SL1344---operon_1849	ST4-74---operon_1254
14028S---operon_1713	D23580---operon_1141	LT2---operon_931	SL1344---operon_2066	ST4-74---operon_1227
14028S---operon_840	D23580---operon_1137	LT2---operon_2414	SL1344---operon_1095	ST4-74---operon_1397
14028S---operon_1989	D23580---operon_2419	LT2---operon_1483	SL1344---operon_2055	ST4-74---operon_1582
14028S---operon_2609	D23580---operon_1617	LT2---operon_1459	SL1344---operon_2547	ST4-74---operon_2475
14028S---operon_2089	D23580---operon_2186	LT2---operon_1369	SL1344---operon_2688	ST4-74---operon_2655
14028S---operon_1248	D23580---operon_2723	LT2---operon_1978	SL1344---operon_1210	ST4-74---operon_959
14028S---operon_508	D23580---operon_529	LT2---operon_519	SL1344---operon_502	ST4-74---operon_530
14028S---operon_2859	D23580---operon_1818	LT2---operon_1636	SL1344---operon_999	ST4-74---operon_2634
14028S---operon_2812	D23580---operon_1375	LT2---operon_1363	SL1344---operon_2606	ST4-74---operon_1700
14028S---operon_1457	D23580---operon_2778	LT2---operon_2743	SL1344---operon_2129	ST4-74---operon_2495
14028S---operon_1975	D23580---operon_966	LT2---operon_1010	SL1344---operon_1734	ST4-74---operon_1342
14028S---operon_400	D23580---operon_420	LT2---operon_407	SL1344---operon_400	ST4-74---operon_422
14028S---operon_2303	D23580---operon_1971	LT2---operon_1466	SL1344---operon_1463	ST4-74---operon_2427
14028S---operon_1420	D23580---operon_2691	LT2---operon_2356	SL1344---operon_1076	ST4-74---operon_1012
14028S---operon_2569	D23580---operon_1921	LT2---operon_2063	SL1344---operon_2566	ST4-74---operon_1702
14028S---operon_965	D23580---operon_1543	LT2---operon_2505	SL1344---operon_1881	ST4-74---operon_918
14028S---operon_1580	D23580---operon_2125	LT2---operon_1229	SL1344---operon_2456	ST4-74---operon_1793
14028S---operon_529	D23580---operon_557	LT2---operon_541	SL1344---operon_524	ST4-74---operon_558
14028S---operon_1033	D23580---operon_1749	LT2---operon_2591	SL1344---operon_1928	ST4-74---operon_1327
14028S---operon_1104	D23580---operon_1361	LT2---operon_1956	SL1344---operon_1328	ST4-74---operon_2097
14028S---operon_2138	D23580---operon_1300	LT2---operon_1717	SL1344---operon_2608	ST4-74---operon_2435
14028S---operon_1481	D23580---operon_1411	LT2---operon_1606	SL1344---operon_2440	ST4-74---operon_1667
14028S---operon_1482	D23580---operon_1680	LT2---operon_1929	SL1344---operon_2898	ST4-74---operon_1240
14028S---operon_2028	D23580---operon_2123	LT2---operon_1149	SL1344---operon_2054	ST4-74---operon_1866
14028S---operon_411	D23580---operon_432	LT2---operon_418	SL1344---operon_410	ST4-74---operon_433
14028S---operon_1497	D23580---operon_1886	LT2---operon_1860	SL1344---operon_2741	ST4-74---operon_2335
14028S---operon_1764	D23580---operon_1719	LT2---operon_2324	SL1344---operon_2179	ST4-74---operon_2175
14028S---operon_1837	D23580---operon_1468	LT2---operon_1271	SL1344---operon_1791	ST4-74---operon_1038
14028S---operon_2317	D23580---operon_1739	LT2---operon_1496	SL1344---operon_1514	ST4-74---operon_2617
14028S---operon_1275	D23580---operon_909	LT2---operon_1178	SL1344---operon_2154	ST4-74---operon_1356
14028S---operon_177	D23580---operon_187	LT2---operon_175	SL1344---operon_173	ST4-74---operon_182
14028S---operon_437	D23580---operon_457	LT2---operon_446	SL1344---operon_437	ST4-74---operon_462
14028S---operon_2052	D23580---operon_1566	LT2---operon_1742	SL1344---operon_1247	ST4-74---operon_2448
14028S---operon_2423	D23580---operon_906	LT2---operon_1501	SL1344---operon_1381	ST4-74---operon_2227
14028S---operon_562	D23580---operon_587	LT2---operon_573	SL1344---operon_555	ST4-74---operon_584
14028S---operon_2857	D23580---operon_2324	LT2---operon_1096	SL1344---operon_2952	ST4-74---operon_1223
14028S---operon_2033	D23580---operon_1560	LT2---operon_1217	SL1344---operon_2631	ST4-74---operon_2211
14028S---operon_902	D23580---operon_921	LT2---operon_1367	SL1344---operon_2173	ST4-74---operon_987
14028S---operon_1748	D23580---operon_1881	LT2---operon_2413	SL1344---operon_1726	ST4-74---operon_1339
14028S---operon_1566	D23580---operon_2071	LT2---operon_1182	SL1344---operon_1252	ST4-74---operon_2698
14028S---operon_2537	D23580---operon_2433	LT2---operon_1515	SL1344---operon_2961	ST4-74---operon_1905
14028S---operon_1469	D23580---operon_2085	LT2---operon_1213	SL1344---operon_2408	ST4-74---operon_2692
14028S---operon_810	D23580---operon_2058	LT2---operon_1720	SL1344---operon_1912	ST4-74---operon_2567
14028S---operon_1436	D23580---operon_1795	LT2---operon_1628	SL1344---operon_1243	ST4-74---operon_1931
14028S---operon_2088	D23580---operon_1743	LT2---operon_2143	SL1344---operon_2190	ST4-74---operon_2477
14028S---operon_1630	D23580---operon_2742	LT2---operon_852	SL1344---operon_1993	ST4-74---operon_2162
14028S---operon_1591	D23580---operon_2192	LT2---operon_1923	SL1344---operon_2782	ST4-74---operon_2452
14028S---operon_2003	D23580---operon_2237	LT2---operon_1614	SL1344---operon_1741	ST4-74---operon_1252
14028S---operon_1959	D23580---operon_1648	LT2---operon_2725	SL1344---operon_1955	ST4-74---operon_1230
14028S---operon_1886	D23580---operon_1492	LT2---operon_849	SL1344---operon_1939	ST4-74---operon_2522
14028S---operon_1111	D23580---operon_1947	LT2---operon_880	SL1344---operon_3007	ST4-74---operon_2118
14028S---operon_309	D23580---operon_316	LT2---operon_304	SL1344---operon_312	ST4-74---operon_324
14028S---operon_1228	D23580---operon_2393	LT2---operon_1710	SL1344---operon_2402	ST4-74---operon_2417
14028S---operon_2152	D23580---operon_2325	LT2---operon_1202	SL1344---operon_2788	ST4-74---operon_2607
14028S---operon_1027	D23580---operon_1982	LT2---operon_2560	SL1344---operon_2492	ST4-74---operon_2137
14028S---operon_2380	D23580---operon_1511	LT2---operon_1655	SL1344---operon_1495	ST4-74---operon_2467
14028S---operon_14	D23580---operon_23	LT2---operon_20	SL1344---operon_17	ST4-74---operon_19
14028S---operon_1505	D23580---operon_1410	LT2---operon_2268	SL1344---operon_923	ST4-74---operon_2052
14028S---operon_2254	D23580---operon_1445	LT2---operon_1488	SL1344---operon_1848	ST4-74---operon_2524
14028S---operon_2404	D23580---operon_2357	LT2---operon_1915	SL1344---operon_1794	ST4-74---operon_2401
14028S---operon_1271	D23580---operon_1657	LT2---operon_1132	SL1344---operon_1497	ST4-74---operon_1235
14028S---operon_481	D23580---operon_502	LT2---operon_492	SL1344---operon_477	ST4-74---operon_504
14028S---operon_1320	D23580---operon_2158	LT2---operon_2606	SL1344---operon_1320	ST4-74---operon_1524
14028S---operon_2781	D23580---operon_1558	LT2---operon_2699	SL1344---operon_2278	ST4-74---operon_1543
14028S---operon_1408	D23580---operon_1249	LT2---operon_2047	SL1344---operon_1932	ST4-74---operon_2091
14028S---operon_1870	D23580---operon_1299	LT2---operon_1795	SL1344---operon_2464	ST4-74---operon_2623
14028S---operon_123	D23580---operon_135	LT2---operon_126	SL1344---operon_125	ST4-74---operon_133
14028S---operon_2534	D23580---operon_2094	LT2---operon_2453	SL1344---operon_1444	ST4-74---operon_1273
14028S---operon_1362	D23580---operon_2089	LT2---operon_1282	SL1344---operon_1181	ST4-74---operon_2404
14028S---operon_694	D23580---operon_721	LT2---operon_709	SL1344---operon_696	ST4-74---operon_730
14028S---operon_2901	D23580---operon_1550	LT2---operon_2550	SL1344---operon_991	ST4-74---operon_2152
14028S---operon_2690	D23580---operon_2210	LT2---operon_840	SL1344---operon_2728	ST4-74---operon_1574
14028S---operon_1776	D23580---operon_1932	LT2---operon_917	SL1344---operon_847	ST4-74---operon_2652
14028S---operon_2078	D23580---operon_1992	LT2---operon_2372	SL1344---operon_1274	ST4-74---operon_2479
14028S---operon_635	D23580---operon_661	LT2---operon_657	SL1344---operon_642	ST4-74---operon_670
14028S---operon_1735	D23580---operon_2614	LT2---operon_2181	SL1344---operon_1183	ST4-74---operon_2343
14028S---operon_2496	D23580---operon_1694	LT2---operon_1432	SL1344---operon_2137	ST4-74---operon_1260
14028S---operon_2210	D23580---operon_1005	LT2---operon_1524	SL1344---operon_2928	ST4-74---operon_2239
14028S---operon_1889	D23580---operon_2569	LT2---operon_1297	SL1344---operon_1806	ST4-74---operon_1306
14028S---operon_1060	D23580---operon_1501	LT2---operon_2336	SL1344---operon_2424	ST4-74---operon_1963
14028S---operon_570	D23580---operon_597	LT2---operon_583	SL1344---operon_564	ST4-74---operon_594
14028S---operon_955	D23580---operon_1793	LT2---operon_1984	SL1344---operon_2802	ST4-74---operon_1653
14028S---operon_2600	D23580---operon_1403	LT2---operon_2283	SL1344---operon_2425	ST4-74---operon_2059
14028S---operon_2221	D23580---operon_2349	LT2---operon_973	SL1344---operon_1982	ST4-74---operon_1814
14028S---operon_1794	D23580---operon_938	LT2---operon_2054	SL1344---operon_1898	ST4-74---operon_909
14028S---operon_960	D23580---operon_2635	LT2---operon_1060	SL1344---operon_1823	ST4-74---operon_1625
14028S---operon_1690	D23580---operon_1449	LT2---operon_1189	SL1344---operon_946	ST4-74---operon_966
14028S---operon_81	D23580---operon_97	LT2---operon_84	SL1344---operon_82	ST4-74---operon_90
14028S---operon_1635	D23580---operon_1710	LT2---operon_1115	SL1344---operon_2169	ST4-74---operon_2318
14028S---operon_1517	D23580---operon_2313	LT2---operon_890	SL1344---operon_1382	ST4-74---operon_2443
14028S---operon_2124	D23580---operon_2738	LT2---operon_2646	SL1344---operon_1395	ST4-74---operon_1944
14028S---operon_1511	D23580---operon_2006	LT2---operon_1008	SL1344---operon_1275	ST4-74---operon_1078
14028S---operon_2240	D23580---operon_1888	LT2---operon_962	SL1344---operon_1118	ST4-74---operon_2192
14028S---operon_2372	D23580---operon_1717	LT2---operon_2224	SL1344---operon_2279	ST4-74---operon_2458
14028S---operon_2615	D23580---operon_1245	LT2---operon_1764	SL1344---operon_1844	ST4-74---operon_1233
14028S---operon_2289	D23580---operon_2165	LT2---operon_990	SL1344---operon_1963	ST4-74---operon_2498
14028S---operon_2331	D23580---operon_1496	LT2---operon_1456	SL1344---operon_2736	ST4-74---operon_1015
14028S---operon_2654	D23580---operon_2596	LT2---operon_949	SL1344---operon_915	ST4-74---operon_2007
14028S---operon_1672	D23580---operon_1915	LT2---operon_1171	SL1344---operon_2903	ST4-74---operon_1858
14028S---operon_2827	D23580---operon_2280	LT2---operon_1184	SL1344---operon_1077	ST4-74---operon_2321
14028S---operon_1317	D23580---operon_2086	LT2---operon_2695	SL1344---operon_2540	ST4-74---operon_1076
14028S---operon_2480	D23580---operon_2340	LT2---operon_1472	SL1344---operon_2347	ST4-74---operon_2411
14028S---operon_2808	D23580---operon_2697	LT2---operon_2544	SL1344---operon_1712	ST4-74---operon_2676
14028S---operon_421	D23580---operon_442	LT2---operon_428	SL1344---operon_419	ST4-74---operon_444
14028S---operon_2154	D23580---operon_2127	LT2---operon_1015	SL1344---operon_2353	ST4-74---operon_2596
14028S---operon_2745	D23580---operon_886	LT2---operon_1358	SL1344---operon_2012	ST4-74---operon_1159
14028S---operon_2814	D23580---operon_1553	LT2---operon_2527	SL1344---operon_815	ST4-74---operon_1320
14028S---operon_1193	D23580---operon_1253	LT2---operon_1862	SL1344---operon_2120	ST4-74---operon_879
14028S---operon_2565	D23580---operon_1218	LT2---operon_1042	SL1344---operon_1214	ST4-74---operon_1565
14028S---operon_2492	D23580---operon_1049	LT2---operon_1845	SL1344---operon_1739	ST4-74---operon_920
14028S---operon_771	D23580---operon_801	LT2---operon_790	SL1344---operon_766	ST4-74---operon_815
14028S---operon_2608	D23580---operon_1319	LT2---operon_1557	SL1344---operon_2192	ST4-74---operon_2645
14028S---operon_2192	D23580---operon_2120	LT2---operon_1692	SL1344---operon_1388	ST4-74---operon_1540
14028S---operon_2276	D23580---operon_1148	LT2---operon_1308	SL1344---operon_2652	ST4-74---operon_1951
14028S---operon_2458	D23580---operon_870	LT2---operon_862	SL1344---operon_1017	ST4-74---operon_888
14028S---operon_1632	D23580---operon_1034	LT2---operon_1474	SL1344---operon_2670	ST4-74---operon_1724
