14028S	D23580	LT2	SL1344	ST4-74
STM14_RS12060	D5R57_RS12055	STM2170	SL1344_RS11155	STM474_RS11155
STM14_RS25045	D5R57_RS12070	STM2173	SL1344_RS25545	STM474_RS25525
STM14_RS12105	D5R57_RS12105	STM2180	SL1344_RS11200	STM474_RS11200
STM14_RS12110	D5R57_RS12110	STM2181	SL1344_RS11205	STM474_RS11205
STM14_RS12115	D5R57_RS12115	STM2182	SL1344_RS11210	STM474_RS11210
STM14_RS12120	D5R57_RS12120	STM2183	SL1344_RS11215	STM474_RS11215
STM14_RS12125	D5R57_RS12125	STM2184	SL1344_RS11220	STM474_RS11220
STM14_RS12130	D5R57_RS12130	STM2185	SL1344_RS11225	STM474_RS11225
STM14_RS12135	D5R57_RS12135	STM2186	SL1344_RS11230	STM474_RS11230
STM14_RS12140	D5R57_RS12140	STM2187	SL1344_RS11235	STM474_RS11235
STM14_RS12175	D5R57_RS12180	STM2194	SL1344_RS11270	STM474_RS11270
STM14_RS12190	D5R57_RS12195	STM2197	SL1344_RS11285	STM474_RS11285
STM14_RS12195	D5R57_RS12200	STM2198	SL1344_RS11290	STM474_RS11290
STM14_RS12215	D5R57_RS12225	STM2202	SL1344_RS11310	STM474_RS11310
STM14_RS12220	D5R57_RS12230	STM2203	SL1344_RS11315	STM474_RS11315
STM14_RS12240	D5R57_RS12250	STM2207	SL1344_RS11335	STM474_RS11335
STM14_RS12265	D5R57_RS12275	STM2212	SL1344_RS11360	STM474_RS11360
STM14_RS12270	D5R57_RS12280	STM2213	SL1344_RS11365	STM474_RS11365
STM14_RS12275	D5R57_RS12290	STM2214	SL1344_RS11370	STM474_RS11370
STM14_RS12280	D5R57_RS12300	STM2215	SL1344_RS11375	STM474_RS11375
STM14_RS12285	D5R57_RS12305	STM2216	SL1344_RS11380	STM474_RS11380
STM14_RS12290	D5R57_RS12310	STM2217	SL1344_RS11385	STM474_RS11385
STM14_RS12295	D5R57_RS12315	STM2218	SL1344_RS11390	STM474_RS11390
STM14_RS12300	D5R57_RS12320	STM2219	SL1344_RS11395	STM474_RS11395
STM14_RS12325	D5R57_RS12340	STM2223	SL1344_RS11420	STM474_RS11420
STM14_RS12330	D5R57_RS12345	STM2224	SL1344_RS11425	STM474_RS11425
STM14_RS12345	D5R57_RS12360	STM2227	SL1344_RS11440	STM474_RS11440
STM14_RS12350	D5R57_RS12365	STM2228	SL1344_RS11445	STM474_RS11445
STM14_RS12365	D5R57_RS12380	STM2231	SL1344_RS11460	STM474_RS11460
STM14_RS12370	D5R57_RS12390	STM2232	SL1344_RS11465	STM474_RS11465
STM14_RS12435	D5R57_RS12460	STM2244	SL1344_RS11530	STM474_RS11530
STM14_RS12445	D5R57_RS12475	STM2246	SL1344_RS11540	STM474_RS11540
STM14_RS12525	D5R57_RS12560	STM2262	SL1344_RS11620	STM474_RS11620
STM14_RS12555	D5R57_RS12590	STM2269	SL1344_RS11650	STM474_RS11650
STM14_RS12560	D5R57_RS12595	STM2270	SL1344_RS11655	STM474_RS11655
STM14_RS12585	D5R57_RS12625	STM2275	SL1344_RS11680	STM474_RS11680
STM14_RS12590	D5R57_RS12630	STM2276	SL1344_RS11685	STM474_RS11685
STM14_RS12595	D5R57_RS12635	STM2277	SL1344_RS11690	STM474_RS11690
STM14_RS12600	D5R57_RS12640	STM2278	SL1344_RS11695	STM474_RS11695
STM14_RS12605	D5R57_RS12645	STM2279	SL1344_RS11700	STM474_RS11700
STM14_RS12615	D5R57_RS12655	STM2281	SL1344_RS11710	STM474_RS11710
STM14_RS12630	D5R57_RS12670	STM2284	SL1344_RS11725	STM474_RS11725
STM14_RS12635	D5R57_RS12675	STM2285	SL1344_RS11730	STM474_RS11730
STM14_RS12640	D5R57_RS12680	STM2286	SL1344_RS11735	STM474_RS11735
STM14_RS12650	D5R57_RS12690	STM2287	SL1344_RS11745	STM474_RS11745
STM14_RS12685	D5R57_RS12730	STM2295	SL1344_RS11780	STM474_RS11780
STM14_RS12695	D5R57_RS12740	STM2297	SL1344_RS11790	STM474_RS11790
STM14_RS12700	D5R57_RS12745	STM2298	SL1344_RS11795	STM474_RS11795
STM14_RS12705	D5R57_RS12750	STM2299	SL1344_RS11800	STM474_RS11800
STM14_RS12710	D5R57_RS12755	STM2300	SL1344_RS11805	STM474_RS11805
STM14_RS12715	D5R57_RS12760	STM2301	SL1344_RS11810	STM474_RS11810
STM14_RS12720	D5R57_RS12765	STM2302	SL1344_RS11815	STM474_RS11815
STM14_RS12725	D5R57_RS12770	STM2303	SL1344_RS11820	STM474_RS11820
STM14_RS12775	D5R57_RS12820	STM2313	SL1344_RS11870	STM474_RS11870
STM14_RS12780	D5R57_RS12825	STM2314	SL1344_RS11875	STM474_RS11875
STM14_RS12865	D5R57_RS12925	STM2331	SL1344_RS11960	STM474_RS11960
STM14_RS12870	D5R57_RS12930	STM2332	SL1344_RS11965	STM474_RS11965
STM14_RS12895	D5R57_RS12960	STM2337	SL1344_RS11990	STM474_RS11990
STM14_RS12900	D5R57_RS12965	STM2338	SL1344_RS11995	STM474_RS11995
STM14_RS12905	D5R57_RS12970	STM2339	SL1344_RS12000	STM474_RS12000
STM14_RS12940	D5R57_RS13005	STM2345	SL1344_RS12035	STM474_RS12035
STM14_RS12960	D5R57_RS13025	STM2349	SL1344_RS12055	STM474_RS12055
STM14_RS12965	D5R57_RS13030	STM2350	SL1344_RS12060	STM474_RS12060
STM14_RS13020	D5R57_RS13090	STM2361	SL1344_RS12115	STM474_RS12115
STM14_RS13070	D5R57_RS13140	STM2371	SL1344_RS12165	STM474_RS12165
STM14_RS13085	D5R57_RS13155	STM2374	SL1344_RS12180	STM474_RS12180
STM14_RS13090	D5R57_RS13160	STM2375	SL1344_RS12185	STM474_RS12185
STM14_RS13095	D5R57_RS13165	STM2376	SL1344_RS12190	STM474_RS12190
STM14_RS13110	D5R57_RS13180	STM2379	SL1344_RS12205	STM474_RS12205
STM14_RS13145	D5R57_RS13215	STM2386	SL1344_RS12240	STM474_RS12240
STM14_RS13170	D5R57_RS13240	STM2391	SL1344_RS12265	STM474_RS12265
STM14_RS13180	D5R57_RS13250	STM2393	SL1344_RS12275	STM474_RS12275
STM14_RS13215	D5R57_RS13285	STM2399	SL1344_RS12310	STM474_RS12310
STM14_RS13230	D5R57_RS13295	STM2401	SL1344_RS12325	STM474_RS12325
STM14_RS13245	D5R57_RS13320	STM2404	SL1344_RS12340	STM474_RS12340
STM14_RS13255	D5R57_RS13330	STM2406	SL1344_RS12350	STM474_RS12350
STM14_RS13260	D5R57_RS13335	STM2407	SL1344_RS12355	STM474_RS12355
STM14_RS13270	D5R57_RS13345	STM2409	SL1344_RS12365	STM474_RS12365
STM14_RS13290	D5R57_RS13370	STM2413	SL1344_RS12385	STM474_RS12385
STM14_RS13295	D5R57_RS13375	STM2414	SL1344_RS12390	STM474_RS12390
STM14_RS13345	D5R57_RS13425	STM2423	SL1344_RS12440	STM474_RS12440
STM14_RS13355	D5R57_RS13435	STM2425	SL1344_RS12450	STM474_RS12450
STM14_RS13375	D5R57_RS13455	STM2429	SL1344_RS12470	STM474_RS12470
STM14_RS13380	D5R57_RS13460	STM2430	SL1344_RS12475	STM474_RS12475
STM14_RS13390	D5R57_RS13465	STM2431	SL1344_RS12485	STM474_RS12485
STM14_RS13395	D5R57_RS13470	STM2432	SL1344_RS12490	STM474_RS12490
STM14_RS13400	D5R57_RS13475	STM2433	SL1344_RS12495	STM474_RS12495
STM14_RS13415	D5R57_RS13490	STM2436	SL1344_RS12510	STM474_RS12510
STM14_RS13420	D5R57_RS13495	STM2437	SL1344_RS12515	STM474_RS12515
STM14_RS13425	D5R57_RS13500	STM2438	SL1344_RS12520	STM474_RS12520
STM14_RS13430	D5R57_RS13505	STM2439	SL1344_RS12525	STM474_RS12525
STM14_RS13485	D5R57_RS13565	STM2450	SL1344_RS12580	STM474_RS12580
STM14_RS13490	D5R57_RS13570	STM2451	SL1344_RS12585	STM474_RS12585
STM14_RS13495	D5R57_RS13575	STM2452	SL1344_RS12590	STM474_RS12590
STM14_RS13500	D5R57_RS13580	STM2453	SL1344_RS12595	STM474_RS12595
STM14_RS13600	D5R57_RS13690	STM2473	SL1344_RS12695	STM474_RS12695
STM14_RS13605	D5R57_RS13695	STM2474	SL1344_RS12700	STM474_RS12700
STM14_RS13625	D5R57_RS13715	STM2478	SL1344_RS12720	STM474_RS12720
STM14_RS13635	D5R57_RS13735	STM2480	SL1344_RS12730	STM474_RS12730
STM14_RS13640	D5R57_RS13740	STM2481	SL1344_RS12735	STM474_RS12735
STM14_RS13645	D5R57_RS13750	STM2482	SL1344_RS12740	STM474_RS12740
STM14_RS13650	D5R57_RS13755	STM2483	SL1344_RS12745	STM474_RS12745
STM14_RS13655	D5R57_RS13760	STM2484	SL1344_RS12750	STM474_RS12750
STM14_RS13690	D5R57_RS13795	STM2491	SL1344_RS12785	STM474_RS12785
STM14_RS13705	D5R57_RS13810	STM2494	SL1344_RS12800	STM474_RS12800
STM14_RS13710	D5R57_RS13815	STM2495	SL1344_RS12805	STM474_RS12805
STM14_RS13730	D5R57_RS13855	STM2499	SL1344_RS12825	STM474_RS12825
STM14_RS13735	D5R57_RS13860	STM2500	SL1344_RS12830	STM474_RS12830
STM14_RS13740	D5R57_RS13865	STM2501	SL1344_RS12835	STM474_RS12835
STM14_RS13745	D5R57_RS13870	STM2502	SL1344_RS12840	STM474_RS12840
STM14_RS13760	D5R57_RS13885	STM2506	SL1344_RS12855	STM474_RS12855
STM14_RS13765	D5R57_RS13900	STM2508	SL1344_RS12860	STM474_RS12860
STM14_RS13785	D5R57_RS13920	STM2512	SL1344_RS12880	STM474_RS12880
STM14_RS13890	D5R57_RS14035	STM2533	SL1344_RS12985	STM474_RS12985
STM14_RS13895	D5R57_RS14045	STM2534	SL1344_RS12990	STM474_RS12990
STM14_RS13955	D5R57_RS14120	STM2546	SL1344_RS13050	STM474_RS13050
STM14_RS13960	D5R57_RS14125	STM2547	SL1344_RS13055	STM474_RS13055
STM14_RS13965	D5R57_RS14130	STM2548	SL1344_RS13060	STM474_RS13060
STM14_RS13970	D5R57_RS14135	STM2549	SL1344_RS13065	STM474_RS13065
STM14_RS13975	D5R57_RS14140	STM2550	SL1344_RS13070	STM474_RS13070
STM14_RS13990	D5R57_RS14155	STM2553	SL1344_RS13085	STM474_RS13085
STM14_RS14005	D5R57_RS14170	STM2556	SL1344_RS13100	STM474_RS13100
STM14_RS14010	D5R57_RS14175	STM2557	SL1344_RS13105	STM474_RS13105
STM14_RS14015	D5R57_RS14180	STM2558	SL1344_RS13110	STM474_RS13110
STM14_RS14020	D5R57_RS14185	STM2559	SL1344_RS13115	STM474_RS13115
STM14_RS14025	D5R57_RS14190	STM2560	SL1344_RS13120	STM474_RS13120
STM14_RS14055	D5R57_RS14220	STM2566	SL1344_RS13150	STM474_RS13150
STM14_RS14060	D5R57_RS14225	STM2567	SL1344_RS13155	STM474_RS13155
STM14_RS14085	D5R57_RS14250	STM2572	SL1344_RS13180	STM474_RS13180
STM14_RS14100	D5R57_RS14265	STM2575	SL1344_RS13195	STM474_RS13195
STM14_RS14105	D5R57_RS14270	STM2576	SL1344_RS13200	STM474_RS13200
STM14_RS14145	D5R57_RS14315	STM2584	SL1344_RS13240	STM474_RS13240
STM14_RS14230	D5R57_RS14425	STM2599	SL1344_RS13325	STM474_RS13325
STM14_RS14285	D5R57_RS14480	STM2610	SL1344_RS13380	STM474_RS13380
STM14_RS14305	D5R57_RS14500	STM2614	SL1344_RS13400	STM474_RS13400
STM14_RS14420	D5R57_RS14625	STM2633	SL1344_RS13525	STM474_RS13525
STM14_RS14425	D5R57_RS14630	STM2634	SL1344_RS13530	STM474_RS13530
STM14_RS14430	D5R57_RS14635	STM2635	SL1344_RS13535	STM474_RS13535
STM14_RS14460	D5R57_RS14675	STM2641	SL1344_RS13565	STM474_RS13565
STM14_RS14470	D5R57_RS14685	STM2643	SL1344_RS13575	STM474_RS13575
STM14_RS14480	D5R57_RS14695	STM2645	SL1344_RS13585	STM474_RS13585
STM14_RS14490	D5R57_RS14705	STM2647	SL1344_RS13595	STM474_RS13595
STM14_RS14500	D5R57_RS14715	STM2649	SL1344_RS13605	STM474_RS13605
STM14_RS14505	D5R57_RS14720	STM2650	SL1344_RS13610	STM474_RS13610
STM14_RS14510	D5R57_RS14725	STM2651	SL1344_RS13615	STM474_RS13615
STM14_RS14515	D5R57_RS14730	STM2652	SL1344_RS13620	STM474_RS13620
STM14_RS14520	D5R57_RS14735	STM2653	SL1344_RS13625	STM474_RS13625
STM14_RS14570	D5R57_RS14790	STM2663	SL1344_RS13675	STM474_RS13675
STM14_RS14575	D5R57_RS14795	STM2665	SL1344_RS13680	STM474_RS13680
STM14_RS14580	D5R57_RS14805	STM2667	SL1344_RS13685	STM474_RS13685
STM14_RS14600	D5R57_RS14825	STM2671	SL1344_RS13705	STM474_RS13705
STM14_RS14605	D5R57_RS14830	STM2672	SL1344_RS13710	STM474_RS13710
STM14_RS14635	D5R57_RS14860	STM2678	SL1344_RS13810	STM474_RS13810
STM14_RS14640	D5R57_RS14865	STM2679	SL1344_RS13815	STM474_RS13815
STM14_RS14655	D5R57_RS14885	STM2683	SL1344_RS13830	STM474_RS13830
STM14_RS14660	D5R57_RS14890	STM2684	SL1344_RS13835	STM474_RS13835
STM14_RS14665	D5R57_RS14895	STM2685	SL1344_RS13840	STM474_RS13840
STM14_RS14680	D5R57_RS14910	STM2688	SL1344_RS13855	STM474_RS13855
STM14_RS14690	D5R57_RS14920	STM2690	SL1344_RS13865	STM474_RS13865
STM14_RS14695	D5R57_RS14925	STM2691	SL1344_RS13870	STM474_RS13870
STM14_RS14700	D5R57_RS14930	STM2692	SL1344_RS13875	STM474_RS13875
STM14_RS14715	D5R57_RS14945	STM2741	SL1344_RS14190	STM474_RS14190
STM14_RS14720	D5R57_RS14950	STM2742	SL1344_RS14195	STM474_RS14195
STM14_RS14730	D5R57_RS14960	STM2744	SL1344_RS14205	STM474_RS14205
STM14_RS14735	D5R57_RS14965	STM2745	SL1344_RS14210	STM474_RS14210
STM14_RS14740	D5R57_RS14970	STM2746	SL1344_RS14215	STM474_RS14215
STM14_RS14745	D5R57_RS14975	STM2747	SL1344_RS14220	STM474_RS14220
STM14_RS14755	D5R57_RS14985	STM2749	SL1344_RS14230	STM474_RS14230
STM14_RS14760	D5R57_RS14990	STM2750	SL1344_RS14235	STM474_RS14235
STM14_RS14765	D5R57_RS14995	STM2751	SL1344_RS14240	STM474_RS14240
STM14_RS14770	D5R57_RS15000	STM2752	SL1344_RS14245	STM474_RS14245
STM14_RS14775	D5R57_RS15005	STM2753	SL1344_RS14250	STM474_RS14250
STM14_RS14780	D5R57_RS15010	STM2754	SL1344_RS14255	STM474_RS14255
STM14_RS14805	D5R57_RS15035	STM2759	SL1344_RS14280	STM474_RS14280
STM14_RS14815	D5R57_RS15045	STM2760	SL1344_RS14290	STM474_RS14290
STM14_RS14820	D5R57_RS15050	STM2761	SL1344_RS14295	STM474_RS14295
STM14_RS14830	D5R57_RS15060	STM2763	SL1344_RS14305	STM474_RS14305
STM14_RS14880	D5R57_RS15100	STM2772	SL1344_RS14350	STM474_RS14350
STM14_RS14885	D5R57_RS15110	STM2773	SL1344_RS14355	STM474_RS14355
STM14_RS14890	D5R57_RS15115	STM2774	SL1344_RS14360	STM474_RS14360
STM14_RS14895	D5R57_RS15120	STM2775	SL1344_RS14365	STM474_RS14365
STM14_RS14900	D5R57_RS15125	STM2776	SL1344_RS14370	STM474_RS14370
STM14_RS14920	D5R57_RS15145	STM2781	SL1344_RS14390	STM474_RS14390
STM14_RS14925	D5R57_RS15155	STM2782	SL1344_RS14395	STM474_RS14395
STM14_RS14955	D5R57_RS15175	STM2786	SL1344_RS14425	STM474_RS14425
STM14_RS14960	D5R57_RS15180	STM2787	SL1344_RS14430	STM474_RS14430
STM14_RS14965	D5R57_RS15185	STM2788	SL1344_RS14435	STM474_RS14435
STM14_RS14970	D5R57_RS15190	STM2789	SL1344_RS14440	STM474_RS14440
STM14_RS14975	D5R57_RS15195	STM2790	SL1344_RS14445	STM474_RS14445
STM14_RS14980	D5R57_RS15200	STM2791	SL1344_RS14450	STM474_RS14450
STM14_RS14985	D5R57_RS15205	STM2792	SL1344_RS14455	STM474_RS14455
STM14_RS14990	D5R57_RS15210	STM2793	SL1344_RS14460	STM474_RS14460
STM14_RS14995	D5R57_RS15215	STM2794	SL1344_RS14465	STM474_RS14465
STM14_RS15010	D5R57_RS15235	STM2797	SL1344_RS14480	STM474_RS14480
STM14_RS15015	D5R57_RS15240	STM2798	SL1344_RS14485	STM474_RS14485
STM14_RS15030	D5R57_RS15260	STM2800	SL1344_RS14500	STM474_RS14500
STM14_RS15040	D5R57_RS15270	STM2802	SL1344_RS14510	STM474_RS14510
STM14_RS15050	D5R57_RS15280	STM2804	SL1344_RS14520	STM474_RS14520
STM14_RS15060	D5R57_RS15290	STM2805	SL1344_RS14530	STM474_RS14530
STM14_RS15065	D5R57_RS15295	STM2806	SL1344_RS14535	STM474_RS14535
STM14_RS15070	D5R57_RS15300	STM2807	SL1344_RS14540	STM474_RS14540
STM14_RS15075	D5R57_RS15305	STM2808	SL1344_RS14545	STM474_RS14545
STM14_RS15080	D5R57_RS15315	STM2809	SL1344_RS14550	STM474_RS14550
STM14_RS15085	D5R57_RS15320	STM2810	SL1344_RS14555	STM474_RS14555
STM14_RS15090	D5R57_RS15325	STM2811	SL1344_RS14560	STM474_RS14560
STM14_RS15095	D5R57_RS15330	STM2812	SL1344_RS14565	STM474_RS14565
STM14_RS15100	D5R57_RS15335	STM2813	SL1344_RS14570	STM474_RS14570
STM14_RS15105	D5R57_RS15340	STM2814	SL1344_RS14575	STM474_RS14575
STM14_RS15110	D5R57_RS15345	STM2815	SL1344_RS14580	STM474_RS14580
STM14_RS15195	D5R57_RS15445	STM2832	SL1344_RS14665	STM474_RS14665
STM14_RS15200	D5R57_RS15450	STM2833	SL1344_RS14670	STM474_RS14670
STM14_RS15205	D5R57_RS15455	STM2834	SL1344_RS14675	STM474_RS14675
STM14_RS15210	D5R57_RS15460	STM2835	SL1344_RS14680	STM474_RS14680
STM14_RS15215	D5R57_RS15465	STM2836	SL1344_RS14685	STM474_RS14685
STM14_RS15225	D5R57_RS15470	STM2837	SL1344_RS14695	STM474_RS14695
STM14_RS15230	D5R57_RS15475	STM2838	SL1344_RS14700	STM474_RS14700
STM14_RS15240	D5R57_RS15485	STM2840	SL1344_RS14710	STM474_RS14710
STM14_RS15245	D5R57_RS15490	STM2841	SL1344_RS14715	STM474_RS14715
STM14_RS15310	D5R57_RS15560	STM2854	SL1344_RS14780	STM474_RS14780
STM14_RS15315	D5R57_RS15565	STM2855	SL1344_RS14785	STM474_RS14785
STM14_RS15320	D5R57_RS15570	STM2856	SL1344_RS14790	STM474_RS14790
STM14_RS15325	D5R57_RS15575	STM2857	SL1344_RS14795	STM474_RS14795
STM14_RS15330	D5R57_RS15580	STM2858	SL1344_RS14800	STM474_RS14800
STM14_RS15335	D5R57_RS15585	STM2859	SL1344_RS14805	STM474_RS14805
STM14_RS15345	D5R57_RS15595	STM2861	SL1344_RS14815	STM474_RS14815
STM14_RS15350	D5R57_RS15600	STM2862	SL1344_RS14820	STM474_RS14820
STM14_RS15355	D5R57_RS15605	STM2863	SL1344_RS14825	STM474_RS14825
STM14_RS15360	D5R57_RS15610	STM2864	SL1344_RS14830	STM474_RS14830
STM14_RS15415	D5R57_RS15670	STM2875	SL1344_RS14885	STM474_RS14885
STM14_RS15420	D5R57_RS15675	STM2876	SL1344_RS14890	STM474_RS14890
STM14_RS15425	D5R57_RS15680	STM2877	SL1344_RS14895	STM474_RS14895
STM14_RS15540	D5R57_RS15795	STM2900	SL1344_RS15010	STM474_RS15010
STM14_RS15545	D5R57_RS15800	STM2901	SL1344_RS15015	STM474_RS15015
STM14_RS15550	D5R57_RS15805	STM2902	SL1344_RS15020	STM474_RS15020
STM14_RS15560	D5R57_RS15820	STM2904	SL1344_RS15030	STM474_RS15030
STM14_RS15565	D5R57_RS15825	STM2905	SL1344_RS15035	STM474_RS15035
STM14_RS15575	D5R57_RS15835	STM2907	SL1344_RS15045	STM474_RS15045
STM14_RS15585	D5R57_RS15845	STM2909	SL1344_RS15055	STM474_RS15055
STM14_RS15600	D5R57_RS15860	STM2912	SL1344_RS15070	STM474_RS15070
STM14_RS15635	D5R57_RS15895	STM2919	SL1344_RS15105	STM474_RS15105
STM14_RS15645	D5R57_RS15905	STM2921	SL1344_RS15115	STM474_RS15115
STM14_RS15650	D5R57_RS15910	STM2922	SL1344_RS15120	STM474_RS15120
STM14_RS15655	D5R57_RS15915	STM2923	SL1344_RS15125	STM474_RS15125
STM14_RS15720	D5R57_RS15980	STM2936	SL1344_RS15190	STM474_RS15190
STM14_RS15765	D5R57_RS16030	STM2945	SL1344_RS15235	STM474_RS15235
STM14_RS15785	D5R57_RS16055	STM2949	SL1344_RS15255	STM474_RS15255
STM14_RS15835	D5R57_RS16110	STM2958	SL1344_RS15305	STM474_RS15305
STM14_RS15880	D5R57_RS16165	STM2968	SL1344_RS15355	STM474_RS15355
STM14_RS15885	D5R57_RS16170	STM2969	SL1344_RS15360	STM474_RS15360
STM14_RS15890	D5R57_RS16175	STM2970	SL1344_RS15365	STM474_RS15365
STM14_RS15895	D5R57_RS16180	STM2971	SL1344_RS15370	STM474_RS15370
STM14_RS15900	D5R57_RS16190	STM2972	SL1344_RS15375	STM474_RS15375
STM14_RS15920	D5R57_RS16210	STM2976	SL1344_RS15395	STM474_RS15395
STM14_RS15925	D5R57_RS16215	STM2977	SL1344_RS15400	STM474_RS15400
STM14_RS15930	D5R57_RS16220	STM2978	SL1344_RS15405	STM474_RS15405
STM14_RS15935	D5R57_RS16225	STM2979	SL1344_RS15410	STM474_RS15410
STM14_RS15960	D5R57_RS16250	STM2984	SL1344_RS15435	STM474_RS15435
STM14_RS15965	D5R57_RS16255	STM2985	SL1344_RS15440	STM474_RS15440
STM14_RS15970	D5R57_RS16260	STM2986	SL1344_RS15445	STM474_RS15445
STM14_RS16000	D5R57_RS16290	STM2992	SL1344_RS15475	STM474_RS15475
STM14_RS16075	D5R57_RS16360	STM3005	SL1344_RS15550	STM474_RS15550
STM14_RS16080	D5R57_RS16365	STM3006	SL1344_RS15555	STM474_RS15555
STM14_RS16085	D5R57_RS16370	STM3007	SL1344_RS15560	STM474_RS15560
STM14_RS16090	D5R57_RS16375	STM3008	SL1344_RS15565	STM474_RS15565
STM14_RS16105	D5R57_RS16400	STM3011	SL1344_RS15580	STM474_RS15580
STM14_RS16120	D5R57_RS16415	STM3014	SL1344_RS15595	STM474_RS15595
STM14_RS16155	D5R57_RS16455	STM3021	SL1344_RS15630	STM474_RS15630
STM14_RS16160	D5R57_RS16460	STM3022	SL1344_RS15635	STM474_RS15635
STM14_RS16170	D5R57_RS16470	STM3024	SL1344_RS15645	STM474_RS15645
STM14_RS16225	D5R57_RS16530	STM3035	SL1344_RS15700	STM474_RS15700
STM14_RS16230	D5R57_RS16535	STM3036	SL1344_RS15705	STM474_RS15705
STM14_RS16245	D5R57_RS16555	STM3039	SL1344_RS15720	STM474_RS15720
STM14_RS16275	D5R57_RS16585	STM3045	SL1344_RS15750	STM474_RS15750
STM14_RS16295	D5R57_RS16605	STM3048	SL1344_RS15770	STM474_RS15770
STM14_RS16310	D5R57_RS16625	STM3051	SL1344_RS15785	STM474_RS15785
STM14_RS16355	D5R57_RS16675	STM3060	SL1344_RS15830	STM474_RS15830
STM14_RS16360	D5R57_RS16685	STM3061	SL1344_RS15835	STM474_RS15835
STM14_RS16375	D5R57_RS16700	STM3064	SL1344_RS15850	STM474_RS15850
STM14_RS16415	D5R57_RS16745	STM3071	SL1344_RS15890	STM474_RS15890
STM14_RS16420	D5R57_RS16750	STM3072	SL1344_RS15895	STM474_RS15895
STM14_RS16425	D5R57_RS16755	STM3073	SL1344_RS15900	STM474_RS15900
STM14_RS16430	D5R57_RS16760	STM3074	SL1344_RS15905	STM474_RS15905
STM14_RS16445	D5R57_RS16775	STM3077	SL1344_RS15920	STM474_RS15920
STM14_RS16510	D5R57_RS16850	STM3090	SL1344_RS15985	STM474_RS15985
STM14_RS16515	D5R57_RS16855	STM3091	SL1344_RS15990	STM474_RS15990
STM14_RS16520	D5R57_RS16860	STM3092	SL1344_RS15995	STM474_RS15995
STM14_RS16525	D5R57_RS16865	STM3093	SL1344_RS16000	STM474_RS16000
STM14_RS16530	D5R57_RS16870	STM3094	SL1344_RS16005	STM474_RS16005
STM14_RS16535	D5R57_RS16875	STM3095	SL1344_RS16010	STM474_RS16010
STM14_RS16540	D5R57_RS16880	STM3096	SL1344_RS16015	STM474_RS16015
STM14_RS16545	D5R57_RS16885	STM3097	SL1344_RS16020	STM474_RS16020
STM14_RS16560	D5R57_RS16900	STM3100	SL1344_RS16035	STM474_RS16035
STM14_RS16565	D5R57_RS16905	STM3101	SL1344_RS16040	STM474_RS16040
STM14_RS16570	D5R57_RS16910	STM3102	SL1344_RS16045	STM474_RS16045
STM14_RS16575	D5R57_RS16915	STM3103	SL1344_RS16050	STM474_RS16050
STM14_RS16580	D5R57_RS16920	STM3104	SL1344_RS16055	STM474_RS16055
STM14_RS16610	D5R57_RS16950	STM3110	SL1344_RS16085	STM474_RS16085
STM14_RS16615	D5R57_RS16955	STM3111	SL1344_RS16090	STM474_RS16090
STM14_RS16620	D5R57_RS16960	STM3112	SL1344_RS16095	STM474_RS16095
STM14_RS16640	D5R57_RS16975	STM3115	SL1344_RS16115	STM474_RS16115
STM14_RS16670	D5R57_RS17005	STM3121	SL1344_RS16145	STM474_RS16145
STM14_RS16685	D5R57_RS17020	STM3124	SL1344_RS16160	STM474_RS16160
STM14_RS16710	D5R57_RS17045	STM3129	SL1344_RS16185	STM474_RS16185
STM14_RS16745	D5R57_RS17075	STM3135	SL1344_RS16215	STM474_RS16215
STM14_RS16750	D5R57_RS17080	STM3136	SL1344_RS16220	STM474_RS16220
STM14_RS16755	D5R57_RS17085	STM3137	SL1344_RS16225	STM474_RS16225
STM14_RS16770	D5R57_RS17105	STM3140	SL1344_RS16240	STM474_RS16240
STM14_RS16845	D5R57_RS17190	STM3155	SL1344_RS16315	STM474_RS16315
STM14_RS16850	D5R57_RS17195	STM3156	SL1344_RS16320	STM474_RS16320
STM14_RS16855	D5R57_RS17200	STM3157	SL1344_RS16325	STM474_RS16325
STM14_RS16875	D5R57_RS17220	STM3161	SL1344_RS16345	STM474_RS16345
STM14_RS16880	D5R57_RS17225	STM3162	SL1344_RS16350	STM474_RS16350
STM14_RS16890	D5R57_RS17235	STM3164	SL1344_RS16360	STM474_RS16360
STM14_RS16895	D5R57_RS17240	STM3165	SL1344_RS16365	STM474_RS16365
STM14_RS16905	D5R57_RS17250	STM3167	SL1344_RS16375	STM474_RS16375
STM14_RS16920	D5R57_RS17265	STM3169	SL1344_RS16390	STM474_RS16390
STM14_RS16925	D5R57_RS17270	STM3170	SL1344_RS16395	STM474_RS16395
STM14_RS16930	D5R57_RS17275	STM3171	SL1344_RS16400	STM474_RS16400
STM14_RS16960	D5R57_RS17305	STM3177	SL1344_RS16430	STM474_RS16430
STM14_RS16965	D5R57_RS17310	STM3178	SL1344_RS16435	STM474_RS16435
STM14_RS16970	D5R57_RS17315	STM3179	SL1344_RS16440	STM474_RS16440
STM14_RS16975	D5R57_RS17320	STM3180	SL1344_RS16445	STM474_RS16445
STM14_RS17005	D5R57_RS17350	STM3186	SL1344_RS16475	STM474_RS16475
STM14_RS17010	D5R57_RS17360	STM3187	SL1344_RS16480	STM474_RS16480
STM14_RS17015	D5R57_RS17365	STM3188	SL1344_RS16485	STM474_RS16485
